times,S_vals,I_vals,R_vals,D_vals
0.0,600.0,10.0,0.0,0.0
0.009994013336455838,599.9647635048373,10.033320587181628,0.0012504426702142,0.0006654653108897652
0.10993414670101423,599.6059953169995,10.372575125308847,0.013986284104315941,0.007443273587326357
0.4678325009573866,598.2208728483641,11.6822501114775,0.06322808087487279,0.03364895928347745
1.1098910525846493,595.2947414732877,14.448419415028582,0.16762944139111993,0.08920967029260975
1.9765492718968984,590.2555081719241,19.21032227808707,0.34863281797603446,0.18553673201271575
3.093424405453538,581.363257664517,27.607368857666913,0.6718342075626688,0.35753927025337806
4.478065594571895,565.2001227709036,42.85067607392666,1.272171900370004,0.6770292547997653
6.15555643129228,534.8691749680821,71.382232654478,2.4465683676987546,1.302024009741146
8.172756849613577,477.2138829337748,125.31667570475831,4.87502964294727,2.594411718519654
10.597780463556996,374.5026870572358,220.12123999426805,10.035397265816092,5.340675682680147
13.450468530308747,232.80405489179606,346.3112195176598,20.157324421196854,10.727401169347345
16.57125167573678,111.89649728089361,443.3191432704661,35.75573638743302,19.02862306120734
19.91338921317303,44.80969585959061,480.55108232930206,55.24090695908531,29.39831485202212
22.947014672063265,19.027355645673783,478.38980393420286,73.4786790303574,39.10416138976605
26.008741315139375,8.169463727541876,461.66385516205236,91.48163728707136,48.68504382333448
29.13857000458932,3.5713781416113695,439.26549601905685,109.10122380483142,58.06190203450045
32.387007730601134,1.5829298706784707,414.7068760018688,126.42751884820247,67.28267527925034
35.77203133876248,0.7124417252516592,389.53092356815546,143.4270725995202,76.32956210707275
39.32494328114781,0.3248553508328025,364.29695570781985,160.1493186616111,85.22887027973631
43.07054573510679,0.15001494104607974,339.2639379008128,176.60156054894114,93.98448660920008
47.04126455982485,0.07008147817982385,314.51366009158204,192.8073261657079,102.60893226453028
50.0,0.04121797683593473,297.22676003632046,204.1086881476352,108.62333383920843
