S_vals,I_vals,R_vals
999.0,1.0,0.0
998.9975773616568,1.0000232798503212,0.002399358492849625
998.9733512832411,1.0002561066697178,0.026392610089257217
998.7311209956574,1.0025872086693615,0.2662917956732272
996.3118627542104,1.0261838084886497,2.6619534373008356
984.7418114112609,1.1473570027120998,14.110831586027018
965.2853970381793,1.3860840670144736,33.328518894806066
941.195218560078,1.755563690533485,57.04921774938846
911.0583500433802,2.367460329008396,86.57418962761146
876.0214647346297,3.3665359949901728,120.61199927038011
836.5750437931391,5.028400615149333,158.39655559171155
792.992058830881,7.864908743108317,199.14303242601068
744.747710464721,12.912278232685434,242.34001130259358
690.9574647730649,22.257965240655423,286.78456998627973
629.567317273682,40.2940916893626,330.13859103695546
556.2363181630012,76.51071123462282,367.25297060237597
462.66293420599595,150.86867278799468,386.46839300600936
339.960745098079,292.4287135257102,367.6105413762108
207.9344652606882,478.7690414621107,313.2964932772011
105.77137711644642,623.7747727990543,270.4538500844993
53.06879433565135,686.4535235101309,260.47768215421763
30.08560122975804,706.5072224177329,263.40717635250905
16.709691024364428,713.2809911300307,270.009317845605
9.593513794252265,713.1851811946395,277.2213050111082
5.481633577242478,709.8464111746803,284.6719552480772
3.1648373398104614,704.9039388539741,291.9312238062155
1.8240874220294476,699.0684480741311,299.1074645038395
1.0527964867788604,692.7894867015984,306.15771681162283
0.6054250531100709,686.2397334039886,313.1548415429015
0.34635016532668783,679.5283900068323,320.12525982784115
0.19590190601855106,672.6555602780851,327.1485378158965
0.1085494447614478,665.5557733900537,334.3356771651849
0.057991005882712963,658.0709774404061,341.8710315537113
0.029279483294809488,649.9953050996264,349.9754154170788
0.01375984361196549,641.1862443502865,358.7999958061016
0.008661616249066527,635.8497867788949,364.1415516048562
