State,Date,New Cases,7-Day Moving Avg
Florida,Oct 29 2021,1796,1909
Florida,Oct 28 2021,2104,2061
Florida,Oct 27 2021,2400,2062
Florida,Oct 26 2021,1954,2075
Florida,Oct 25 2021,2119,2184
Florida,Oct 24 2021,978,2198
Florida,Oct 23 2021,2018,2325
Florida,Oct 22 2021,2854,2254
Florida,Oct 21 2021,2113,2228
Florida,Oct 20 2021,2494,2347
Florida,Oct 19 2021,2717,2490
Florida,Oct 18 2021,2215,2479
Florida,Oct 17 2021,1867,2553
Florida,Oct 16 2021,1523,2559
Florida,Oct 15 2021,2670,2754
Florida,Oct 14 2021,2944,2843
Florida,Oct 13 2021,3495,2989
Florida,Oct 12 2021,2641,3061
Florida,Oct 11 2021,2733,3232
Florida,Oct 10 2021,1907,3378
Florida,Oct  9 2021,2894,3500
Florida,Oct  8 2021,3287,3548
Florida,Oct  7 2021,3971,3732
Florida,Oct  6 2021,3995,4021
Florida,Oct  5 2021,3840,4175
Florida,Oct  4 2021,3755,4478
Florida,Oct  3 2021,2763,4689
Florida,Oct  2 2021,3227,4829
Florida,Oct  1 2021,4575,5094
Florida,Sep 30 2021,5993,5474
Florida,Sep 29 2021,5076,5745
Florida,Sep 28 2021,5957,5942
Florida,Sep 27 2021,5233,6544
Florida,Sep 26 2021,3748,6812
Florida,Sep 25 2021,5081,7191
Florida,Sep 24 2021,7236,7715
Florida,Sep 23 2021,7887,8112
Florida,Sep 22 2021,6458,8643
Florida,Sep 21 2021,10165,9083
Florida,Sep 20 2021,7109,9191
Florida,Sep 19 2021,6404,9718
Florida,Sep 18 2021,8748,9739
Florida,Sep 17 2021,10015,10693
Florida,Sep 16 2021,11604,10594
Florida,Sep 15 2021,9540,11511
Florida,Sep 14 2021,10921,11959
Florida,Sep 13 2021,10794,12413
Florida,Sep 12 2021,6555,12335
Florida,Sep 11 2021,15427,12995
Florida,Sep 10 2021,9319,13260
Florida,Sep  9 2021,18023,14395
Florida,Sep  8 2021,12677,14438
Florida,Sep  7 2021,14102,15741
Florida,Sep  6 2021,10243,16498
Florida,Sep  5 2021,11174,17749
Florida,Sep  4 2021,17286,18032
Florida,Sep  3 2021,17260,18109
Florida,Sep  2 2021,18330,18726
Florida,Sep  1 2021,21793,20102
Florida,Aug 31 2021,19403,20063
Florida,Aug 30 2021,18998,21093
Florida,Aug 29 2021,13155,21470
Florida,Aug 28 2021,17828,21700
Florida,Aug 27 2021,21578,21745
Florida,Aug 26 2021,27963,21873
Florida,Aug 25 2021,21522,21375
Florida,Aug 24 2021,26613,21797
Florida,Aug 23 2021,21632,21398
Florida,Aug 22 2021,14764,21466
Florida,Aug 21 2021,18143,21831
Florida,Aug 20 2021,22478,21602
Florida,Aug 19 2021,24475,21612
Florida,Aug 18 2021,24475,21845
Florida,Aug 17 2021,23821,21807
Florida,Aug 16 2021,22112,21983
Florida,Aug 15 2021,17314,21797
Florida,Aug 14 2021,16545,21526
Florida,Aug 13 2021,22544,21970
Florida,Aug 12 2021,26108,21861
Florida,Aug 11 2021,24205,21624
Florida,Aug 10 2021,25054,21465
Florida,Aug  9 2021,20809,20829
Florida,Aug  8 2021,15419,20346
Florida,Aug  7 2021,19652,20039
Florida,Aug  6 2021,21780,19783
Florida,Aug  5 2021,24451,19527
Florida,Aug  4 2021,23095,19172
Florida,Aug  3 2021,20598,18336
Florida,Aug  2 2021,17428,17930
Florida,Aug  1 2021,13269,17770
Florida,Jul 31 2021,17863,17359
Florida,Jul 30 2021,19991,16687
Florida,Jul 29 2021,21966,15966
Florida,Jul 28 2021,17239,14889
Florida,Jul 27 2021,17757,14361
Florida,Jul 26 2021,16306,13519
Florida,Jul 25 2021,10397,12542
Florida,Jul 24 2021,13156,12091
Florida,Jul 23 2021,14943,11357
Florida,Jul 22 2021,14430,10550
Florida,Jul 21 2021,13539,9725
Florida,Jul 20 2021,11862,8981
Florida,Jul 19 2021,9471,8304
Florida,Jul 18 2021,7236,7887
Florida,Jul 17 2021,8021,7503
Florida,Jul 16 2021,9292,7090
Florida,Jul 15 2021,8660,6553
Florida,Jul 14 2021,8330,6077
Florida,Jul 13 2021,7121,5588
Florida,Jul 12 2021,6552,5143
Florida,Jul 11 2021,4545,4463
Florida,Jul 10 2021,5130,4070
Florida,Jul  9 2021,5538,3694
Florida,Jul  8 2021,5328,3360
Florida,Jul  7 2021,4902,3015
Florida,Jul  6 2021,4010,2732
Florida,Jul  5 2021,1793,2517
Florida,Jul  4 2021,1792,2595
Florida,Jul  3 2021,2501,2559
Florida,Jul  2 2021,3194,2460
Florida,Jul  1 2021,2918,2312
Florida,Jun 30 2021,2922,2171
Florida,Jun 29 2021,2499,2033
Florida,Jun 28 2021,2343,1968
Florida,Jun 27 2021,1536,1895
Florida,Jun 26 2021,1808,1828
Florida,Jun 25 2021,2162,1815
Florida,Jun 24 2021,1933,1720
Florida,Jun 23 2021,1956,1712
Florida,Jun 22 2021,2043,1659
Florida,Jun 21 2021,1833,1623
Florida,Jun 20 2021,1066,1558
Florida,Jun 19 2021,1716,1554
Florida,Jun 18 2021,1493,1505
Florida,Jun 17 2021,1882,1523
Florida,Jun 16 2021,1581,1545
Florida,Jun 15 2021,1790,1593
Florida,Jun 14 2021,1384,1585
Florida,Jun 13 2021,1035,1598
Florida,Jun 12 2021,1374,1626
Florida,Jun 11 2021,1617,1646
Florida,Jun 10 2021,2036,1727
Florida,Jun  9 2021,1921,1783
Florida,Jun  8 2021,1734,1779
Florida,Jun  7 2021,1471,1717
Florida,Jun  6 2021,1234,1687
Florida,Jun  5 2021,1511,1698
Florida,Jun  4 2021,2182,1694
Florida,Jun  3 2021,2431,1671
Florida,Jun  2 2021,1892,1660
Florida,Jun  1 2021,1300,1719
Florida,May 31 2021,1260,1870
Florida,May 30 2021,1316,1963
Florida,May 29 2021,1478,2004
Florida,May 28 2021,2024,2085
Florida,May 27 2021,2354,2271
Florida,May 26 2021,2302,2273
Florida,May 25 2021,2357,2361
Florida,May 24 2021,1915,2438
Florida,May 23 2021,1598,2566
Florida,May 22 2021,2048,2622
Florida,May 21 2021,3327,2679
Florida,May 20 2021,2370,2676
Florida,May 19 2021,2914,2848
Florida,May 18 2021,2896,3010
Florida,May 17 2021,2812,3058
Florida,May 16 2021,1988,3127
Florida,May 15 2021,2446,3173
Florida,May 14 2021,3310,3281
Florida,May 13 2021,3572,3375
Florida,May 12 2021,4051,3482
Florida,May 11 2021,3229,3571
Florida,May 10 2021,3295,3748
Florida,May  9 2021,2308,3812
Florida,May  8 2021,3204,3935
Florida,May  7 2021,3966,4035
Florida,May  6 2021,4322,4242
Florida,May  5 2021,4675,4389
Florida,May  4 2021,4471,4542
Florida,May  3 2021,3741,4644
Florida,May  2 2021,3168,4867
Florida,May  1 2021,3905,4927
Florida,Apr 30 2021,5413,5045
Florida,Apr 29 2021,5353,5317
Florida,Apr 28 2021,5746,5256
Florida,Apr 27 2021,5185,5388
Florida,Apr 26 2021,5301,5452
Florida,Apr 25 2021,3586,5509
Florida,Apr 24 2021,4732,5612
Florida,Apr 23 2021,7321,5779
Florida,Apr 22 2021,4924,5637
Florida,Apr 21 2021,6673,5974
Florida,Apr 20 2021,5627,5986
Florida,Apr 19 2021,5703,6146
Florida,Apr 18 2021,4306,6633
Florida,Apr 17 2021,5901,6258
Florida,Apr 16 2021,6330,6209
Florida,Apr 15 2021,7281,6279
Florida,Apr 14 2021,6754,6248
Florida,Apr 13 2021,6750,6395
Florida,Apr 12 2021,9114,6268
Florida,Apr 11 2021,1678,5757
Florida,Apr 10 2021,5560,6022
Florida,Apr  9 2021,6819,5917
Florida,Apr  8 2021,7063,5781
Florida,Apr  7 2021,7783,5683
Florida,Apr  6 2021,5860,5579
Florida,Apr  5 2021,5536,5460
Florida,Apr  4 2021,3534,5407
Florida,Apr  3 2021,4825,5417
Florida,Apr  2 2021,5867,5422
Florida,Apr  1 2021,6377,5402
Florida,Mar 31 2021,7060,5336
Florida,Mar 30 2021,5022,5163
Florida,Mar 29 2021,5170,5190
Florida,Mar 28 2021,3598,5212
Florida,Mar 27 2021,4860,5124
Florida,Mar 26 2021,5732,4999
Florida,Mar 25 2021,5910,4887
Florida,Mar 24 2021,5851,4772
Florida,Mar 23 2021,5209,4781
Florida,Mar 22 2021,5327,4709
Florida,Mar 21 2021,2980,4616
Florida,Mar 20 2021,3987,4604
Florida,Mar 19 2021,4946,4581
Florida,Mar 18 2021,5109,4614
Florida,Mar 17 2021,5910,4608
Florida,Mar 16 2021,4710,4483
Florida,Mar 15 2021,4671,4505
Florida,Mar 14 2021,2901,4478
Florida,Mar 13 2021,3826,4548
Florida,Mar 12 2021,5172,4587
Florida,Mar 11 2021,5068,4505
Florida,Mar 10 2021,5039,4626
Florida,Mar  9 2021,4862,4775
Florida,Mar  8 2021,4484,4749
Florida,Mar  7 2021,3389,5107
Florida,Mar  6 2021,4095,4884
Florida,Mar  5 2021,4601,4987
Florida,Mar  4 2021,5915,5105
Florida,Mar  3 2021,6084,5107
Florida,Mar  2 2021,4676,5173
Florida,Mar  1 2021,6991,5514
Florida,Feb 28 2021,1828,5315
Florida,Feb 27 2021,4818,5638
Florida,Feb 26 2021,5428,5653
Florida,Feb 25 2021,5924,5893
Florida,Feb 24 2021,6549,5990
Florida,Feb 23 2021,7066,5779
Florida,Feb 22 2021,5593,5799
Florida,Feb 21 2021,4090,5957
Florida,Feb 20 2021,4925,5910
Florida,Feb 19 2021,7105,6024
Florida,Feb 18 2021,6606,6028
Florida,Feb 17 2021,5072,6152
Florida,Feb 16 2021,7206,6611
Florida,Feb 15 2021,6697,6644
Florida,Feb 14 2021,3764,6695
Florida,Feb 13 2021,5719,6946
Florida,Feb 12 2021,7134,7078
Florida,Feb 11 2021,7472,7108
Florida,Feb 10 2021,8291,7543
Florida,Feb  9 2021,7436,7431
Florida,Feb  8 2021,7049,7340
Florida,Feb  7 2021,5526,7808
Florida,Feb  6 2021,6639,7818
Florida,Feb  5 2021,7343,7960
Florida,Feb  4 2021,10519,9004
Florida,Feb  3 2021,7508,9054
Florida,Feb  2 2021,6799,9596
Florida,Feb  1 2021,10324,9807
Florida,Jan 31 2021,5595,9687
Florida,Jan 30 2021,7635,10108
Florida,Jan 29 2021,14654,10362
Florida,Jan 28 2021,10863,9992
Florida,Jan 27 2021,11305,10360
Florida,Jan 26 2021,8276,10555
Florida,Jan 25 2021,9483,11032
Florida,Jan 24 2021,8545,11053
Florida,Jan 23 2021,9408,10949
Florida,Jan 22 2021,12066,11145
Florida,Jan 21 2021,13438,11121
Florida,Jan 20 2021,12671,11561
Florida,Jan 19 2021,11616,11668
Florida,Jan 18 2021,9629,11970
Florida,Jan 17 2021,7815,12682
Florida,Jan 16 2021,10783,13220
Florida,Jan 15 2021,11900,13429
Florida,Jan 14 2021,16519,13880
Florida,Jan 13 2021,13416,14247
Florida,Jan 12 2021,13730,15103
Florida,Jan 11 2021,14614,15631
Florida,Jan 10 2021,11583,15720
Florida,Jan  9 2021,12247,15670
Florida,Jan  8 2021,15056,15416
Florida,Jan  7 2021,19086,14643
Florida,Jan  6 2021,19407,14907
Florida,Jan  5 2021,17425,14498
Florida,Jan  4 2021,15239,13928
Florida,Jan  3 2021,11235,13455
Florida,Jan  2 2021,10466,12991
Florida,Jan  1 2021,9646,12505
Florida,Dec 31 2020,20937,11969
Florida,Dec 30 2020,16541,10491
Florida,Dec 29 2020,13437,9960
Florida,Dec 28 2020,11924,9633
Florida,Dec 27 2020,7991,9390
Florida,Dec 26 2020,7059,9774
Florida,Dec 25 2020,5894,9927
Florida,Dec 24 2020,10597,10713
Florida,Dec 23 2020,12822,11042
Florida,Dec 22 2020,11148,11055
Florida,Dec 21 2020,10224,11083
Florida,Dec 20 2020,10676,10969
Florida,Dec 19 2020,8132,10624
Florida,Dec 18 2020,11393,10721
Florida,Dec 17 2020,12903,10577
Florida,Dec 16 2020,12912,10361
Florida,Dec 15 2020,11343,10125
Florida,Dec 14 2020,9426,9844
Florida,Dec 13 2020,8265,9621
Florida,Dec 12 2020,8809,9509
Florida,Dec 11 2020,10384,9419
Florida,Dec 10 2020,11391,9390
Florida,Dec  9 2020,11260,9187
Florida,Dec  8 2020,9378,9097
Florida,Dec  7 2020,7866,9172
Florida,Dec  6 2020,7480,9290
Florida,Dec  5 2020,8179,9142
Florida,Dec  4 2020,10177,8996
Florida,Dec  3 2020,9975,8421
Florida,Dec  2 2020,10629,7934
Florida,Dec  1 2020,9900,7861
Florida,Nov 30 2020,8691,7607
Florida,Nov 29 2020,6447,7525
Florida,Nov 28 2020,7159,7472
Florida,Nov 27 2020,6148,7373
Florida,Nov 26 2020,6565,7664
Florida,Nov 25 2020,10121,7993
Florida,Nov 24 2020,8122,7826
Florida,Nov 23 2020,8116,7778
Florida,Nov 22 2020,6078,7666
Florida,Nov 21 2020,6463,7442
Florida,Nov 20 2020,8186,7926
Florida,Nov 19 2020,8866,7389
Florida,Nov 18 2020,8955,7087
Florida,Nov 17 2020,7782,6594
Florida,Nov 16 2020,7336,6299
Florida,Nov 15 2020,4511,5865
Florida,Nov 14 2020,9846,5765
Florida,Nov 13 2020,4431,5299
Florida,Nov 12 2020,6750,5290
Florida,Nov 11 2020,5503,5065
Florida,Nov 10 2020,5717,5152
Florida,Nov  9 2020,4299,4960
Florida,Nov  8 2020,3812,4999
Florida,Nov  7 2020,6582,4836
Florida,Nov  6 2020,4367,4817
Florida,Nov  5 2020,5175,4554
Florida,Nov  4 2020,6114,4588
Florida,Nov  3 2020,4376,4313
Florida,Nov  2 2020,4571,4267
Florida,Nov  1 2020,2667,4223
Florida,Oct 31 2020,6449,4316
Florida,Oct 30 2020,2531,3730
Florida,Oct 29 2020,5409,3996
Florida,Oct 28 2020,4194,3752
Florida,Oct 27 2020,4050,3929
Florida,Oct 26 2020,4263,3657
Florida,Oct 25 2020,3320,3562
Florida,Oct 24 2020,2343,3337
Florida,Oct 23 2020,4393,3356
Florida,Oct 22 2020,3702,3298
Florida,Oct 21 2020,5432,3254
Florida,Oct 20 2020,2150,2949
Florida,Oct 19 2020,3595,3051
Florida,Oct 18 2020,1745,2920
Florida,Oct 17 2020,2477,2892
Florida,Oct 16 2020,3990,3051
Florida,Oct 15 2020,3391,2734
Florida,Oct 14 2020,3297,2658
Florida,Oct 13 2020,2868,2654
Florida,Oct 12 2020,2672,2602
Florida,Oct 11 2020,1550,2545
Florida,Oct 10 2020,3592,2521
Florida,Oct  9 2020,1774,2272
Florida,Oct  8 2020,2858,2414
Florida,Oct  7 2020,3267,2385
Florida,Oct  6 2020,2501,2317
Florida,Oct  5 2020,2277,2254
Florida,Oct  4 2020,1380,2383
Florida,Oct  3 2020,1850,2301
Florida,Oct  2 2020,2770,2299
Florida,Oct  1 2020,2654,2299
Florida,Sep 30 2020,2792,2319
Florida,Sep 29 2020,2061,2289
Florida,Sep 28 2020,3179,2363
Florida,Sep 27 2020,804,2249
Florida,Sep 26 2020,1834,2368
Florida,Sep 25 2020,2769,2459
Florida,Sep 24 2020,2799,2567
Florida,Sep 23 2020,2580,2619
Florida,Sep 22 2020,2579,2715
Florida,Sep 21 2020,2382,2674
Florida,Sep 20 2020,1634,2710
Florida,Sep 19 2020,2472,2728
Florida,Sep 18 2020,3526,2711
Florida,Sep 17 2020,3165,2655
Florida,Sep 16 2020,3251,2719
Florida,Sep 15 2020,2288,2615
Florida,Sep 14 2020,2635,2618
Florida,Sep 13 2020,1763,2495
Florida,Sep 12 2020,2354,2508
Florida,Sep 11 2020,3132,2522
Florida,Sep 10 2020,3612,2594
Florida,Sep  9 2020,2522,2531
Florida,Sep  8 2020,2308,2677
Florida,Sep  7 2020,1776,2703
Florida,Sep  6 2020,1852,3479
Florida,Sep  5 2020,2453,3452
Florida,Sep  4 2020,3636,3470
Florida,Sep  3 2020,3173,3389
