State,Date,New Cases,7-Day Moving Avg
Florida,Mar 31 2020,902,717
Florida,Mar 30 2020,850,629
Florida,Mar 29 2020,875,533
Florida,Mar 28 2020,707,450
Florida,Mar 27 2020,657,378
Florida,Mar 26 2020,535,304
Florida,Mar 25 2020,497,239
Florida,Mar 24 2020,283,182
Florida,Mar 23 2020,177,150
Florida,Mar 22 2020,297,129
Florida,Mar 21 2020,203,91
Florida,Mar 20 2020,142,68
Florida,Mar 19 2020,77,50
Florida,Mar 18 2020,98,40
Florida,Mar 17 2020,61,27
Florida,Mar 16 2020,27,18
Florida,Mar 15 2020,31,15
Florida,Mar 14 2020,40,11
Florida,Mar 13 2020,20,6
Florida,Mar 12 2020,5,3
Florida,Mar 11 2020,6,2
Florida,Mar 10 2020,2,2
Florida,Mar  9 2020,5,2
Florida,Mar  8 2020,1,1
Florida,Mar  7 2020,4,1
Florida,Mar  6 2020,0,1
Florida,Mar  5 2020,1,1
Florida,Mar  4 2020,4,1
Florida,Mar  3 2020,1,0
Florida,Mar  2 2020,2,0
Florida,Mar  1 2020,0,0
Florida,Feb 29 2020,0,0
Florida,Feb 28 2020,0,0
Florida,Feb 27 2020,0,0
Florida,Feb 26 2020,0,0
Florida,Feb 25 2020,0,0
Florida,Feb 24 2020,0,0
Florida,Feb 23 2020,0,0
Florida,Feb 22 2020,0,0
Florida,Feb 21 2020,0,0
Florida,Feb 20 2020,0,0
Florida,Feb 19 2020,0,0
Florida,Feb 18 2020,0,0
Florida,Feb 17 2020,0,0
Florida,Feb 16 2020,0,0
Florida,Feb 15 2020,0,0
Florida,Feb 14 2020,0,0
Florida,Feb 13 2020,0,0
Florida,Feb 12 2020,0,0
Florida,Feb 11 2020,0,0
Florida,Feb 10 2020,0,0
Florida,Feb  9 2020,0,0
Florida,Feb  8 2020,0,0
Florida,Feb  7 2020,0,0
Florida,Feb  6 2020,0,0
Florida,Feb  5 2020,0,0
Florida,Feb  4 2020,0,0
Florida,Feb  3 2020,0,0
Florida,Feb  2 2020,0,0
Florida,Feb  1 2020,0,0
Florida,Jan 31 2020,0,0
Florida,Jan 30 2020,0,0
Florida,Jan 29 2020,0,0
Florida,Jan 28 2020,0,0
Florida,Jan 27 2020,0,0
Florida,Jan 26 2020,0,0
Florida,Jan 25 2020,0,0
Florida,Jan 24 2020,0,0
Florida,Jan 23 2020,0,0
