S_vals,I_vals,R_vals
999.0,1.0,0.0
998.9999937283585,1.0000052086740692,1.0629674139871107e-6
998.9999310106459,1.000057296409469,1.1692944597412514e-5
998.9993037037376,1.0005782732378024,0.00011802302467135215
998.9930176489974,1.0057979924679614,0.0011843585346472808
998.9288512244852,1.0589936958072226,0.012155079707563644
998.6946236154754,1.2518997359686086,0.05347664855592977
998.2132210046042,1.6426129754849534,0.14416601991076775
997.4113596743862,2.2782728108508,0.310367514762959
996.0818313877289,3.2963039888411543,0.6218646234297411
993.940854246064,4.854646751621488,1.2044990023143578
990.6108309206779,7.105941546160373,2.2832275331616425
985.7612115927493,10.05443370040753,4.184354706843014
979.1834869665388,13.505510672444426,7.311002361016692
970.7539316454113,17.15005474098293,12.096013613605624
960.319297146141,20.720003877377174,18.960698976481723
947.5744440244475,24.096464877204998,28.32909109834742
932.0115594969028,27.292677075233758,40.695763427863334
912.9225375999217,30.354107239669524,56.72335516040857
889.4365241258752,33.23979231671793,77.3236835574067
860.6011163361811,35.71676766682077,103.68211599699796
825.5781420301751,37.27685698864087,137.14500098118387
784.1541750814024,37.125087329686274,178.72073758891113
737.8300782135656,34.42416602311342,227.7457557633209
689.491792807418,28.802476515697844,281.70573067688395
652.6138823995783,22.62427329914817,324.7618443012734
628.0553659315543,17.61302883169859,354.3316052367469
611.3072246334893,13.782684185788062,374.91009118072236
599.9994334378732,11.00284355724238,388.9977230048843
592.3182021920612,9.02168658434093,398.6601112235976
586.9619060412999,7.593169913542376,405.44492404515745
583.0799385627256,6.532129185895002,410.3879322513791
580.1448458473166,5.714578206461407,414.1405759462218
577.8353292985465,5.061414327469377,417.10325637398387
575.9546196562372,4.522739693290211,419.5226406504723
574.3799837065291,4.066822274795525,421.55319401867513
573.0328514458303,3.673088080423607,423.2940604737458
571.8612962951629,3.3278241579446823,424.8108795468921
570.8297711166223,3.0215869375377777,426.1486419458397
569.9130889309351,2.7476544477015947,427.3392566213631
569.0928446416594,2.501095963897919,428.4060593944425
568.3552108372321,2.278194212445047,429.3665949503227
567.6895100778829,2.076067842756382,430.2344220793605
567.087252123443,1.8924144640907614,431.02033341246596
566.5414766183555,1.7253339739189462,431.7331894077254
566.046311811659,1.57320984456863,432.3804783437721
565.5966875822917,1.4346325889322493,432.96867982877586
565.1881532277116,1.30835215825255,433.5034946140356
564.8167614909014,1.1932486142767365,433.98998989482163
564.478990422451,1.0883130262700418,434.4326965512788
564.1716859520068,0.9926337180246251,434.8356803299684
563.8920159105464,0.9053852570330452,435.20259883242045
563.6374311804566,0.8258190198633792,435.5367497996799
563.4056323168041,0.7532549485813389,435.8411127346144
563.1945412943398,0.6870744931507351,436.1183842125092
563.0022772853973,0.6267144808373,436.3710082337651
562.8271359799685,0.5716618250320656,436.60120219499925
562.667571765495,0.5214489120874097,436.81097932241744
562.5221821588701,0.4756495171537005,437.0021683239759
562.4065972338714,0.43919195538939826,437.1542108107391
