times,S_vals,I_vals,R_vals,D_vals
0.0,600.0,10.0,0.0,0.0
0.00985497577186711,599.9652252921543,10.032866277766672,0.001258589739883113,0.0006498403392093669
0.10840473349053821,599.6112467835552,10.367413033705182,0.014073331107739378,0.007266851631880622
0.46418606723569117,598.2343095191316,11.668666566820326,0.06398015969297897,0.03304375435509935
1.1044454662810281,595.3181178568794,14.424045451783135,0.17000296691445244,0.08783372442292825
1.9698455780888775,590.2913274927743,19.171889811182318,0.35386926419624565,0.18291343184710604
3.084933011699121,581.4256989052286,27.53990966612547,0.6817936079954876,0.3525978206503055
4.467894990664673,565.3103519179051,42.731323180846225,1.2905448250909908,0.6677800761575954
6.143431590308888,535.0743137802102,71.161047777127,2.480467037291189,1.2841714053715365
8.158467367361808,477.5925382580923,124.90932517990414,4.939552802976321,2.5585837590271074
10.580926703370697,375.12984737823064,219.4412584831176,10.162185970274482,5.26670816837718
13.429253529483258,233.63479492457347,345.39278760271213,20.394711615551312,10.5777058571629
16.551852447969623,112.42657771911695,442.6038845422291,36.18295308158904,18.786584657064783
19.886048380089502,45.276751524846894,479.90487977681505,55.802075131447445,29.01629356689049
22.926157171676714,19.368584828694775,477.8101666805839,74.18454743518349,38.63670105553769
25.986645525524054,8.542750081475962,461.1380705489055,92.20936657449813,48.10981279512024
29.124349627632164,4.004773987189097,438.76892866514,109.8176586704878,57.40863867718297
32.389277841871156,2.107356287607506,414.23377964766496,127.08289470439443,66.57596936033295
35.82475700651338,1.347107576646058,388.9169470844005,144.07960219274023,75.6563431462131
39.51130546122683,1.0904737449361854,363.09584982590303,161.03506993412066,84.77860649503998
43.58022657778218,1.0730577984475362,336.48417590965687,178.2989652037759,94.14380108811955
48.22821903169986,1.188496866810284,308.5102306305576,196.2959086139257,104.00536388870633
50.0,1.2510759692631004,298.49962277281145,202.70418863305702,107.54511262486832
