times,S1,I1,R1,D1,S2,I2,R2,D2
0.0,400.0,10.0,0.0,0.0,200.0,0.0,0.0,0.0
0.015117952935908438,399.9393599041631,10.057989082803946,0.001516163120077892,0.0007580872831196722,199.99999656331042,0.00038010184069740013,6.880112879212587e-8,2.8677483669974e-8
0.16056534494109814,399.33842839837985,10.63285545447422,0.016558246848012985,0.00827977918673346,199.99960304663298,0.004263697276567983,8.021976226856374e-6,3.3552253864618867e-6
0.5095817526882969,397.75896104880223,12.145359618999839,0.05623902262149139,0.02812637229015241,199.99576423365536,0.01542524398065898,8.754708642247075e-5,3.6912563804524966e-5
1.0204081632653061,395.0541342699895,14.739410430913056,0.12465600720527327,0.062357122722138156,199.98147571807556,0.03740220014761027,0.00039558004423799606,0.00016867090261749425
1.6539813866356332,390.93161375277083,18.699153815332053,0.23000457177618144,0.11508452674748347,199.94559856062023,0.0768133031384641,0.0012091403161048101,0.0005223292986596537
2.0408163265306123,387.92179402015984,21.5929614524576,0.30771244093334327,0.15398720314095496,199.9111764355183,0.10946581126961785,0.002022412796424156,0.0008802237239287614
2.7684170526435734,381.04966810796554,28.204849665880054,0.48761869925705253,0.24407217433387612,199.81286411909093,0.19450657614791603,0.004455654686681914,0.0019650026379910914
3.061224489795918,377.77343531477817,31.35814985588318,0.5746063284850327,0.28763611434502084,199.7580585985409,0.23965125971401727,0.0058636522374773846,0.0025988760162342192
3.7742733710330976,368.366426619378,40.41277553634389,0.8288271824075895,0.4149659608128183,199.5774889762864,0.3840396045552457,0.010685659883435922,0.004790460332694444
4.081632653061225,363.618151490941,44.98246470430953,0.9597154293345445,0.4805287999446969,199.4748134751037,0.46470917355947444,0.013525341389682134,0.006091585417416412
4.816073302720501,350.36526893279546,57.73068475395666,1.334552675913256,0.668300326298442,199.15209322615195,0.715937390665881,0.02279112170679311,0.010371572511582626
5.1020408163265305,344.4226394314723,63.443029582272146,1.5073733637975189,0.7548777366981388,198.99111985223303,0.8407978088134604,0.027568853008537543,0.012593371704889401
5.84180116325197,326.87239910717625,80.29463504591236,2.0361158427244823,1.0197702056219462,198.458936418215,1.2539573489013667,0.04393221047219438,0.020253820976392046
6.122448979591836,319.3717125124213,87.4870152140561,2.270981003270019,1.1374375836350934,198.2054356029748,1.4513913219317995,0.05198256247398193,0.024044199236906847
6.873820132290235,297.03230696589685,108.8674794822576,3.005277508791177,1.505327213500401,197.35293517709596,2.119334388339842,0.08001848214865138,0.037320781969513085
7.142857142857143,288.27109157923235,117.23392455569868,3.308729873820322,1.6573617519664257,196.97588189944764,2.4167716848982037,0.09282364666173286,0.04341500827460155
7.901849626672433,261.66952555696156,142.56091812496518,4.291163144214804,2.1495795797437824,195.66210805366026,3.462157494721367,0.1390307022462768,0.06551734348675797
8.16326530612245,251.96690880374004,151.76640986967993,4.675045521190124,2.341911933091821,195.11116854815947,3.9043694801109003,0.15905001101629862,0.07513583301139026
8.930974988628467,222.42438202861493,179.6669968743482,5.944087078459542,2.9777190607676904,193.14155360770044,5.501107991603526,0.23321925336238664,0.11093410514327375
