times,S_vals,I_vals,R_vals,D_vals
0.0,600.0,10.0,0.0,0.0
0.014662785491040322,599.9425749690519,10.05573231945423,0.0016927114939042083,0.0
0.1576912987525046,599.3656617084998,10.61562594926618,0.018712342233967956,0.0
0.5023574144563667,597.8428302954208,12.093409759282322,0.06375994529685762,0.0
1.0084551098965353,595.2249062059957,14.633478272212518,0.14161552179174944,0.0
1.632027818679949,591.2592128278465,18.480237632752356,0.2605495394011212,0.0
2.4227170580651647,584.7776783550121,24.764780392225532,0.45754125276230856,0.0
3.3806945195105746,574.1411181968489,35.07090026865269,0.7879815344983574,0.0
4.531483387176247,556.1015097877225,52.528714408318315,1.3697758039589787,0.0
5.885235061738233,525.4785682449735,82.09638859111116,2.4250431639151326,0.0
7.463148728390799,475.0832300466116,130.53385837544326,4.382911577944978,0.0
9.291189956843285,400.3638772298765,201.6536456786111,7.9824770915122,0.0
11.409116017527994,309.44617946860035,286.2866905047561,14.267130026643459,0.0
13.79107327666215,224.86325830433685,361.14491227086677,23.991829424796297,0.0
16.59845240585509,150.6241508807513,420.7152530541415,38.66059606510711,0.0
18.97942622233184,99.82849422538149,456.5399231295034,53.631582645115024,0.0
21.53681557813473,57.66561736769507,480.43536026417297,71.89902236813188,0.0
24.0703851262235,30.77301079686235,487.86308431363824,91.36390488949937,0.0
26.777293770075158,15.124787409060017,482.2740750647984,112.60113752614154,0.0
29.608328585697137,7.214015145480743,468.3030051761017,134.4829796784175,0.0
32.59669871775535,3.4043483635001173,449.84958463979865,156.74606699670116,0.0
35.73228376581425,1.621158529390289,429.3959596664764,178.98288180413317,0.0
39.04281437816841,0.7822683254080531,408.0496869426976,201.1680447318943,0.0
42.53442979011401,0.3848913870631319,386.44548278635955,223.16962582657726,0.0
46.23213122337981,0.19327105651957954,364.812240005079,244.99448893840133,0.0
50.0,0.10175517558919843,344.1170577312784,265.7811870931323,0.0
