times,S_samples,I_samples,R_samples,D_samples
0.0,587.1532374083988,10.472366158717643,0.0,0.0
1.0204081632653061,570.4510225996646,14.889171504645187,0.13063687355589293,0.06390999414266958
2.0408163265306123,591.1315632140524,22.404536567243174,0.31237833959241496,0.16157618683000416
3.061224489795918,560.1032872182894,30.02463306499999,0.5587039340934732,0.29179160535330884
4.081632653061225,566.8450310494828,43.43571375643638,1.0051616135575678,0.48759944487669205
5.1020408163265305,553.3106855829751,63.07733276565748,1.5621551833348482,0.7491889030183904
6.122448979591836,519.4756819760712,84.94243894600982,2.2939592251784684,1.167388182691278
7.142857142857143,491.9753573851484,118.71121440950064,3.4530732212033173,1.7137804964237966
8.16326530612245,446.2822562281316,154.87104301416184,4.750395149164573,2.3113464904461116
9.183673469387756,393.9799596553073,192.87327648408552,6.439442944369012,3.4721029315235636
10.204081632653061,361.4760083005883,246.069346923473,8.846266763433897,4.415361222030646
11.224489795918368,313.2039118619717,271.6836594325293,11.74850119873512,5.812045386230157
12.244897959183673,282.5742618899283,317.7581896098535,15.284397636821186,7.288590361739745
13.26530612244898,241.8275205490836,346.59014562575334,18.87520438490345,9.240016789301317
14.285714285714286,201.60574847168772,378.94049874330335,22.67887258910165,10.706174203096872
15.306122448979592,178.2622140294073,383.3947522432266,27.34621262993871,13.24659824904579
16.3265306122449,153.97160083744564,401.1367702535113,32.21698164796623,16.104127711038142
17.346938775510203,126.87358864026658,429.09789088024075,36.504385890572394,18.76911559681894
18.367346938775512,100.93333735082031,435.0867906331776,40.7775981086976,20.494152897421124
19.387755102040817,80.13137787550505,467.1330791504647,46.378295620285854,22.91185786753278
20.408163265306122,58.97849027674044,447.700211027241,52.27582557558533,26.93699932532946
21.428571428571427,47.024807145574584,471.5319771556666,59.97988758673273,29.263338081097412
22.448979591836736,33.89003099190164,469.64720894252173,67.33038768997278,32.651118229743076
23.46938775510204,25.440590401658753,485.7533354300414,71.77210583501561,35.90311073944629
24.489795918367346,19.09128443847628,465.45131250755236,79.95518982909871,40.024212990437604
25.510204081632654,13.762664323895633,464.8396902075771,84.4237253018441,42.8276575059903
26.53061224489796,10.008321755622635,444.9362203532313,93.42056298020654,47.38348108384675
27.551020408163264,7.438688100564484,459.9783565896911,96.61892137169356,48.06535901292879
28.571428571428573,6.001501501448499,428.1920147651124,102.78190837897063,50.72986998581875
29.591836734693878,4.210969100572457,438.4382430851815,108.50313943660137,55.55586328429597
30.612244897959183,3.204821063327922,437.5707395389977,113.90572263534051,59.57571870061467
31.632653061224488,2.5118423125855287,430.71160034115564,119.03623332665424,59.21160402785698
32.6530612244898,1.8418612451695213,423.8227839875711,123.46973433918178,63.30718115829215
33.673469387755105,1.402034789149286,416.82230369766256,133.5166566776866,64.48392606094272
34.69387755102041,1.0819843347744142,410.79737363483537,135.4723815512051,67.7305302926158
35.714285714285715,0.84416746410004,393.40999013939097,140.81796563252578,74.03194026746473
36.734693877551024,0.6487445149280873,402.439428753004,146.49852801241954,76.01077201055145
37.755102040816325,0.5389693447284846,373.90916041221675,152.5490163219421,76.27062424855202
38.775510204081634,0.3954270251216864,378.71583809333697,156.1389608606836,77.07458874636437
39.795918367346935,0.3088921516418134,357.13266798882285,164.94649788969264,80.95803639773715
40.816326530612244,0.2601625276999179,356.24715932128777,175.21178997045968,86.59217260919608
41.83673469387755,0.2021954309425218,350.1186703417618,176.40495944154702,84.80722715931378
42.857142857142854,0.15782403375749807,335.83760595540866,174.09692437775084,86.7298038609508
43.87755102040816,0.13076632221197645,349.1132834251347,185.28477743176526,91.90500667689808
44.89795918367347,0.11212292984529344,321.72441911907106,191.3216576882019,92.640694924066
45.91836734693877,0.0856492028151919,315.6175218852204,186.8907575700021,95.88590876323687
46.93877551020408,0.07506951733468034,314.30645384600024,190.11019694278235,98.42055315805325
47.95918367346939,0.061682938833739674,303.03953881829585,200.80181837391444,102.67624032144677
48.97959183673469,0.04772553869366794,307.742065824375,201.2352376653178,102.15878704527913
50.0,0.03935370992720591,297.56378507127613,210.4250502794307,102.84618185168111
